ind	P	D
1	1.0	0.0
2	1.5	0.5
3	2.3333333333333335	1.0
4	2.5	0.5
5	3.2	1.0
6	4.333333333333333	1.5
7	4.857142857142857	1.0
8	4.875	0.5
9	5.555555555555555	1.1111111111111112
10	5.7	0.6
11	6.454545454545454	1.1818181818181819
12	6.666666666666667	0.6666666666666666
13	7.461538461538462	1.2307692307692308
14	8.785714285714286	1.7857142857142858
15	9.533333333333333	1.2666666666666666
16	9.75	0.75
17	10.529411764705882	1.2941176470588236
18	10.777777777777779	0.7777777777777778
19	11.631578947368421	1.368421052631579
20	11.95	0.85
21	12.857142857142858	1.4285714285714286
22	13.227272727272727	0.9090909090909091
23	14.173913043478262	1.4782608695652173
24	14.583333333333334	0.9583333333333334
25	14.48	0.44
26	15.0	1.0384615384615385
27	16.11111111111111	1.6296296296296295
28	16.678571428571427	1.1071428571428572
29	16.655172413793103	0.5172413793103449
30	17.233333333333334	1.1
31	17.29032258064516	0.5806451612903226
32	17.9375	1.15625
33	19.151515151515152	1.7272727272727273
34	19.88235294117647	1.2647058823529411
35	20.02857142857143	0.6857142857142857
36	20.75	1.25
37	20.972972972972972	0.7567567567567568
38	21.763157894736842	1.3157894736842106
39	22.05128205128205	0.8205128205128205
40	22.9	1.375
41	23.21951219512195	0.8536585365853658
42	24.095238095238095	1.4047619047619047
43	24.441860465116278	0.8837209302325582
44	25.34090909090909	1.4318181818181819
45	25.711111111111112	0.9111111111111111
46	26.630434782608695	1.4565217391304348
47	26.97872340425532	0.8936170212765957
48	27.875	1.4375
49	28.26530612244898	0.9387755102040817
50	29.2	1.48
51	29.58823529411765	0.9411764705882353
52	29.442307692307693	0.40384615384615385
53	29.867924528301888	0.9622641509433962
54	30.85185185185185	1.5185185185185186
55	31.363636363636363	1.0545454545454545
56	31.339285714285715	0.5178571428571429
57	31.87719298245614	1.0701754385964912
58	32.96551724137931	1.6206896551724137
59	33.54237288135593	1.11864406779661
60	33.6	0.6
61	34.21311475409836	1.1475409836065573
